Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.309500,-58.420000,180.000000,top
"C2","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.441500,-60.960000,180.000000,top
"C3","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",81.750000,-89.250000,-90.000000,top
"C4","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.250000,-92.250000,0.000000,top
"C5","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",68.250000,-95.750000,-90.000000,top
"C6","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.980000,-73.250000,-90.000000,top
"C8","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",78.250000,-101.112500,0.000000,top
"C9","220u/35v","CP_Radial_D8.0mm_P3.50mm",85.500000,-78.402651,90.000000,top
"C10","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.441500,-63.246000,180.000000,top
"C11","220u/35v","CP_Radial_D8.0mm_P3.50mm",57.652651,-85.000000,180.000000,top
"C12","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",123.250000,-72.250000,90.000000,top
"C13","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.284500,-85.378000,0.000000,top
"C14","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.000000,-85.378000,0.000000,top
"C15","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.925000,-85.378000,180.000000,top
"C16","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.915000,-86.452500,-90.000000,top
"C17","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",201.000000,-69.000000,-90.000000,top
"C18","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",201.250000,-62.712500,90.000000,top
"C19","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.250000,-63.250000,90.000000,top
"D1","RED","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",58.500000,-100.500000,180.000000,top
"D2","B320","D_SMC_Handsoldering",72.750000,-85.000000,180.000000,top
"D3","RED","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",209.750000,-72.000000,0.000000,top
"J1","DA15_Plug_MountingHoles","DSUB-15_Female_Vertical_P2.77x2.84mm_MountingHoles",73.665000,-57.450000,180.000000,top
"J2","Display connectors","PinHeader_1x04_P2.54mm_Vertical",113.030000,-67.945000,90.000000,top
"J3","Programmer IO","PinHeader_1x07_P2.54mm_Vertical",177.000000,-60.875000,0.000000,top
"J4","unused pins","PinHeader_1x12_P2.54mm_Vertical",103.090000,-104.750000,90.000000,top
"J5","DE9_Receptacle_MountingHoles","DSUB-9_Female_Vertical_P2.77x2.84mm_MountingHoles",116.495000,-57.450000,180.000000,top
"J6","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",185.025000,-61.650000,0.000000,top
"J7","USB_B_Micro","USB_Mini-B_Wuerth_65100516121_Horizontal",196.850000,-55.000000,180.000000,top
"L1","33u","L_Coilcraft_MSS1278T-XXX",58.000000,-71.750000,-90.000000,top
"Q1","2N7002","SOT-23",95.504000,-82.042000,90.000000,top
"Q2","2N7002","SOT-23",200.300000,-78.687500,-90.000000,top
"Q3","2N7002","SOT-23",205.800000,-78.687500,-90.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",83.820000,-65.405000,0.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.135600,-65.532000,180.000000,top
"R3","1k6","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",93.980000,-68.580000,180.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",63.097500,-100.500000,0.000000,top
"R5","7k5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",87.750000,-89.335500,90.000000,top
"R6","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",89.000000,-104.238000,0.000000,top
"R7","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.750000,-89.390500,-90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",84.500000,-89.238000,-90.000000,top
"R9","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.750000,-89.390500,-90.000000,top
"R10","100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.713500,-78.915500,0.000000,top
"R11","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",175.932500,-81.280000,0.000000,top
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.892500,-85.011500,180.000000,top
"R13","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",205.750000,-72.000000,180.000000,top
"R14","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",201.300000,-75.125000,90.000000,top
"R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",206.737500,-74.887500,90.000000,top
"R16","3k3","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",116.750000,-71.847500,90.000000,top
"R17","3k3","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",120.000000,-71.847500,90.000000,top
"RESET","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ22",141.764000,-71.480000,90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ22",157.850000,-82.085000,0.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ22",157.850000,-100.500000,0.000000,top
"SW4","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ22",170.550000,-90.975000,0.000000,top
"SW5","SW_Push","SW_Push_1P1T_NO_CK_KSC6xxJ22",144.515000,-90.975000,0.000000,top
"U1","ESP32-WROOM-E","ESP32-WROOM-32E",158.200000,-64.500000,0.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",73.425000,-69.965000,90.000000,top
"U3","AMS1117-3.3","SOT-223",61.250000,-94.500000,180.000000,top
"U4","LM358","DIP-8_W7.62mm",92.700000,-93.200000,-90.000000,top
"U5","ICL7660","PowerIntegrations_SO-8",77.000000,-94.250000,90.000000,top
"U6","MAX3232","SOP-16_3.9x9.9mm_P1.27mm",127.500000,-79.500000,90.000000,top
"U7","AMS1117-3.3","SOT-223",207.645000,-65.750000,0.000000,top
"U8","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",193.750000,-70.750000,0.000000,top
